2022-03-30 15:16:13 INFO  MultiThreadHtmlParser:34 - Подключение к сайту https://onlinesim.ru/price-list
2022-03-30 15:16:23 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Испания
2022-03-30 15:16:24 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Нидерланды
2022-03-30 15:16:24 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны США
2022-03-30 15:16:25 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Франция
2022-03-30 15:16:25 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Румыния
2022-03-30 15:16:26 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Греция
2022-03-30 15:16:26 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Россия
2022-03-30 15:16:26 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Египет
2022-03-30 15:16:27 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Италия
2022-03-30 15:16:43 INFO  FileWriter:35 - Старт заполнения файла 'Греция.txt'
2022-03-30 15:16:43 INFO  FileWriter:27 - Создан файл Греция.txt
2022-03-30 15:16:44 INFO  FileWriter:42 - Файл 'Греция.txt' заполнен успешно
2022-03-30 15:16:45 INFO  FileWriter:35 - Старт заполнения файла 'Испания.txt'
2022-03-30 15:16:45 INFO  FileWriter:27 - Создан файл Испания.txt
2022-03-30 15:16:45 INFO  FileWriter:42 - Файл 'Испания.txt' заполнен успешно
2022-03-30 15:16:45 INFO  FileWriter:35 - Старт заполнения файла 'Румыния.txt'
2022-03-30 15:16:45 INFO  FileWriter:27 - Создан файл Румыния.txt
2022-03-30 15:16:45 INFO  FileWriter:42 - Файл 'Румыния.txt' заполнен успешно
2022-03-30 15:16:45 INFO  FileWriter:35 - Старт заполнения файла 'Италия.txt'
2022-03-30 15:16:45 INFO  FileWriter:27 - Создан файл Италия.txt
2022-03-30 15:16:45 INFO  FileWriter:42 - Файл 'Италия.txt' заполнен успешно
2022-03-30 15:16:45 INFO  FileWriter:35 - Старт заполнения файла 'Нидерланды.txt'
2022-03-30 15:16:45 INFO  FileWriter:27 - Создан файл Нидерланды.txt
2022-03-30 15:16:45 INFO  FileWriter:42 - Файл 'Нидерланды.txt' заполнен успешно
